Type,DN,OuterDiameter,WallThickness,Radius,Length,Material,PN,Url,ImageUrl,TechnicalDrawingUrl
"Coude 90°, 3D, soudé",,33.7,1.6,38,,1.4307,,https://kohler.ch/fr/produit/103010r-1651,https://kohler.ch/assets/source/7d/r_1651_1652_f__03.png,https://kohler.ch/assets/source/0a/r_1651_tz__03.png
"Coude 90°, 3D, soudé",,33.7,2,38,,1.4307,,https://kohler.ch/fr/produit/103010r-1651,https://kohler.ch/assets/source/7d/r_1651_1652_f__03.png,https://kohler.ch/assets/source/0a/r_1651_tz__03.png
"Coude 90°, 3D, soudé",,33.7,2.6,38,,1.4307,,https://kohler.ch/fr/produit/103010r-1651,https://kohler.ch/assets/source/7d/r_1651_1652_f__03.png,https://kohler.ch/assets/source/0a/r_1651_tz__03.png
"Coude 90°, 3D, soudé",,42.4,1.6,48,,1.4307,,https://kohler.ch/fr/produit/103010r-1651,https://kohler.ch/assets/source/7d/r_1651_1652_f__03.png,https://kohler.ch/assets/source/0a/r_1651_tz__03.png
"Coude 90°, 3D, soudé",,42.4,2,48,,1.4307,,https://kohler.ch/fr/produit/103010r-1651,https://kohler.ch/assets/source/7d/r_1651_1652_f__03.png,https://kohler.ch/assets/source/0a/r_1651_tz__03.png
"Coude 90°, 3D, soudé",,42.4,2.6,48,,1.4307,,https://kohler.ch/fr/produit/103010r-1651,https://kohler.ch/assets/source/7d/r_1651_1652_f__03.png,https://kohler.ch/assets/source/0a/r_1651_tz__03.png
"Coude 90°, 3D, soudé",,48.3,2,57,,1.4307,,https://kohler.ch/fr/produit/103010r-1651,https://kohler.ch/assets/source/7d/r_1651_1652_f__03.png,https://kohler.ch/assets/source/0a/r_1651_tz__03.png
"Coude 90°, 3D, soudé",,48.3,2.6,57,,1.4307,,https://kohler.ch/fr/produit/103010r-1651,https://kohler.ch/assets/source/7d/r_1651_1652_f__03.png,https://kohler.ch/assets/source/0a/r_1651_tz__03.png
"Coude 90°, 3D, soudé",,60.3,1.6,76,,1.4307,,https://kohler.ch/fr/produit/103010r-1651,https://kohler.ch/assets/source/7d/r_1651_1652_f__03.png,https://kohler.ch/assets/source/0a/r_1651_tz__03.png
"Coude 90°, 3D, soudé",,60.3,2,76,,1.4307,,https://kohler.ch/fr/produit/103010r-1651,https://kohler.ch/assets/source/7d/r_1651_1652_f__03.png,https://kohler.ch/assets/source/0a/r_1651_tz__03.png
"Coude 90°, 3D, soudé",,48.3,1.6,57,,1.4307,,https://kohler.ch/fr/produit/103010r-1651,https://kohler.ch/assets/source/7d/r_1651_1652_f__03.png,https://kohler.ch/assets/source/0a/r_1651_tz__03.png
"Coude 90°, 3D, soudé",,60.3,2.6,76,,1.4307,,https://kohler.ch/fr/produit/103010r-1651,https://kohler.ch/assets/source/7d/r_1651_1652_f__03.png,https://kohler.ch/assets/source/0a/r_1651_tz__03.png
"Coude 90°, 3D, soudé",,76.1,2,95,,1.4307,,https://kohler.ch/fr/produit/103010r-1651,https://kohler.ch/assets/source/7d/r_1651_1652_f__03.png,https://kohler.ch/assets/source/0a/r_1651_tz__03.png
"Coude 90°, 3D, soudé",,76.1,2.3,95,,1.4307,,https://kohler.ch/fr/produit/103010r-1651,https://kohler.ch/assets/source/7d/r_1651_1652_f__03.png,https://kohler.ch/assets/source/0a/r_1651_tz__03.png
"Coude 90°, 3D, soudé",,76.1,2.6,95,,1.4307,,https://kohler.ch/fr/produit/103010r-1651,https://kohler.ch/assets/source/7d/r_1651_1652_f__03.png,https://kohler.ch/assets/source/0a/r_1651_tz__03.png
"Coude 45°, 3D, soudé",,17.2,1.6,28,,1.4307,,https://kohler.ch/fr/produit/103010r-1650,https://kohler.ch/assets/source/f9/r_1650_f__03.png,https://kohler.ch/assets/source/73/r_1650_tz__03.png
"Coude 45°, 3D, soudé",,21.3,1.6,27.5,,1.4307,,https://kohler.ch/fr/produit/103010r-1650,https://kohler.ch/assets/source/f9/r_1650_f__03.png,https://kohler.ch/assets/source/73/r_1650_tz__03.png
"Coude 45°, 3D, soudé",,21.3,2,27.5,,1.4307,,https://kohler.ch/fr/produit/103010r-1650,https://kohler.ch/assets/source/f9/r_1650_f__03.png,https://kohler.ch/assets/source/73/r_1650_tz__03.png
